Isolate,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,ModeLen,Phred,AvgQual,Depth,Quality
CFSAN000952,1900502,286975802,52.9,151,151,151,151,33,28.2,58,&#10004;
CFSAN000211,2472012,373273812,50.4,151,151,151,151,33,32.0,76,&#10004;
CFSAN000968,2028526,306307426,51.5,151,151,151,151,33,29.7,62,&#10004;
CFSAN001112,1510070,223192700,53.0,35,147,151,151,33,31.8,45,?
CFSAN000752,1613100,243578100,51.1,151,151,151,151,33,31.3,49,?
CFSAN000963,1986422,299949722,50.6,151,151,151,151,33,30.2,61,&#10004;
CFSAN001115,1589670,234114048,53.2,35,147,151,151,33,31.6,47,?
CFSAN000954,1533318,231531018,52.6,151,151,151,151,33,28.2,47,?
CFSAN000970,2149054,324507154,51.0,151,151,151,151,33,30.2,66,&#10004;
CFSAN000961,1944996,293694396,49.9,151,151,151,151,33,30.6,60,&#10004;
CFSAN000669,1798742,271610042,48.3,151,151,151,151,33,32.4,55,&#10004;
CFSAN000960,2693314,406690414,49.6,151,151,151,151,33,31.5,83,&#10004;
CFSAN001140,1068816,157627612,52.9,35,147,151,151,33,31.8,32,?
CFSAN000661,1086774,164102874,51.2,151,151,151,151,33,31.9,33,?
CFSAN000189,3665520,538547504,49.1,135,146,151,151,33,32.3,110,&#10004;
CFSAN000212,1116748,168628948,50.7,151,151,151,151,33,29.6,34,?
CFSAN000951,2167418,327280118,52.5,151,151,151,151,33,28.2,66,&#10004;
CFSAN000191,2052236,293469748,49.0,135,143,151,151,33,33.5,60,&#10004;
CFSAN001118,1055848,156000507,53.2,35,147,151,151,33,31.4,31,?
CFSAN000700,1220282,184262582,50.6,151,151,151,151,33,31.6,37,?
CFSAN000753,1836708,277342908,50.1,151,151,151,151,33,31.9,56,&#10004;
CFSAN000958,1705132,257474932,51.3,151,151,151,151,33,30.7,52,&#10004;
CFSAN000228,2563240,387049240,49.4,151,151,151,151,33,30.7,79,&#10004;
